
OccupationCode|ExperienceLevel
19-4061.00|Over 6 months, up to and including 1 year
19-4071.00|None
19-4071.00|Over 1 year, up to and including 2 years
19-4071.00|Over 10 years
19-4071.00|Over 3 months, up to and including 6 months
19-4071.00|Over 6 months, up to and including 1 year
19-4071.00|Over 8 years, up to and including 10 years
19-4092.00|None
19-4092.00|Over 1 year, up to and including 2 years
19-4092.00|Over 2 years, up to and including 4 years
19-4092.00|Over 3 months, up to and including 6 months
19-4092.00|Over 6 months, up to and including 1 year
19-4092.00|Over 6 years, up to and including 8 years
19-4099.01|None
19-4099.01|Over 1 year, up to and including 2 years
19-4099.01|Over 2 years, up to and including 4 years
19-4099.01|Over 3 months, up to and including 6 months
19-4099.01|Over 6 months, up to and including 1 year
19-4099.03|None
19-4099.03|Over 1 month, up to and including 3 months
19-4099.03|Over 1 year, up to and including 2 years
19-4099.03|Over 2 years, up to and including 4 years
19-4099.03|Over 4 years, up to and including 6 years
19-4099.03|Over 6 months, up to and including 1 year
19-4099.03|Over 8 years, up to and including 10 years
21-1011.00|Over 1 year, up to and including 2 years
21-1011.00|Over 2 years, up to and including 4 years
21-1011.00|Over 4 years, up to and including 6 years
21-1011.00|Over 6 months, up to and including 1 year
21-1012.00|None
21-1012.00|Over 1 year, up to and including 2 years
21-1012.00|Over 2 years, up to and including 4 years
21-1012.00|Over 3 months, up to and including 6 months
21-1012.00|Over 6 months, up to and including 1 year
21-1013.00|Over 1 year, up to and including 2 years
21-1013.00|Over 2 years, up to and including 4 years
21-1013.00|Over 3 months, up to and including 6 months
21-1013.00|Over 6 months, up to and including 1 year
21-1014.00|None
21-1014.00|Over 1 month, up to and including 3 months
21-1014.00|Over 1 year, up to and including 2 years
21-1014.00|Over 2 years, up to and including 4 years
21-1014.00|Over 3 months, up to and including 6 months
21-1014.00|Over 6 months, up to and including 1 year
21-1014.00|Over 8 years, up to and including 10 years
21-1015.00|Over 1 year, up to and including 2 years
21-1015.00|Over 2 years, up to and including 4 years
21-1015.00|Over 4 years, up to and including 6 years
21-1015.00|Over 6 months, up to and including 1 year
21-1021.00|None
21-1021.00|Over 1 year, up to and including 2 years
21-1021.00|Over 2 years, up to and including 4 years
21-1021.00|Over 4 years, up to and including 6 years
21-1021.00|Over 6 months, up to and including 1 year
21-1023.00|None
21-1023.00|Over 1 year, up to and including 2 years
21-1023.00|Over 2 years, up to and including 4 years
21-1023.00|Over 3 months, up to and including 6 months
21-1023.00|Over 4 years, up to and including 6 years
21-1023.00|Over 6 months, up to and including 1 year
21-1023.00|Over 6 years, up to and including 8 years
21-1091.00|Over 1 year, up to and including 2 years
21-1091.00|Over 2 years, up to and including 4 years
21-1091.00|Over 6 months, up to and including 1 year
21-1092.00|None
21-1092.00|Over 1 year, up to and including 2 years
21-1092.00|Over 2 years, up to and including 4 years
21-1092.00|Over 6 months, up to and including 1 year
21-1093.00|None
21-1093.00|Over 1 month, up to and including 3 months
21-1093.00|Over 1 year, up to and including 2 years
21-1093.00|Over 2 years, up to and including 4 years
21-1093.00|Over 6 months, up to and including 1 year
21-1094.00|Over 1 year, up to and including 2 years
21-1094.00|Over 2 years, up to and including 4 years
21-1094.00|Over 3 months, up to and including 6 months
21-1094.00|Over 4 years, up to and including 6 years
21-1094.00|Over 6 months, up to and including 1 year
21-2011.00|None
21-2011.00|Over 1 year, up to and including 2 years
21-2011.00|Over 10 years
21-2011.00|Over 2 years, up to and including 4 years
21-2011.00|Over 3 months, up to and including 6 months
21-2011.00|Over 6 months, up to and including 1 year
21-2011.00|Over 8 years, up to and including 10 years
21-2021.00|Over 1 year, up to and including 2 years
21-2021.00|Over 2 years, up to and including 4 years
21-2021.00|Over 6 months, up to and including 1 year
23-1011.00|None
23-1011.00|Over 1 year, up to and including 2 years
23-1011.00|Over 10 years
23-1011.00|Over 2 years, up to and including 4 years
23-1011.00|Over 6 years, up to and including 8 years
23-1012.00|None
23-1012.00|Over 3 months, up to and including 6 months
23-1021.00|Over 1 year, up to and including 2 years
23-1021.00|Over 10 years
23-1021.00|Over 2 years, up to and including 4 years
23-1021.00|Over 4 years, up to and including 6 years
23-1021.00|Over 6 years, up to and including 8 years
23-1021.00|Over 8 years, up to and including 10 years
23-1023.00|None
23-1023.00|Over 10 years
23-1023.00|Over 2 years, up to and including 4 years
23-1023.00|Over 4 years, up to and including 6 years
23-1023.00|Over 6 years, up to and including 8 years
23-1023.00|Over 8 years, up to and including 10 years
23-2011.00|None
23-2011.00|Over 1 year, up to and including 2 years
23-2011.00|Over 2 years, up to and including 4 years
23-2011.00|Over 3 months, up to and including 6 months
23-2011.00|Over 4 years, up to and including 6 years
23-2011.00|Over 6 months, up to and including 1 year
23-2093.00|Over 1 year, up to and including 2 years
23-2093.00|Over 10 years
23-2093.00|Over 2 years, up to and including 4 years
23-2093.00|Over 6 months, up to and including 1 year
25-1011.00|None
25-1011.00|Over 1 year, up to and including 2 years
25-1011.00|Over 10 years
25-1011.00|Over 2 years, up to and including 4 years
25-1011.00|Over 4 years, up to and including 6 years
25-1021.00|None
25-1021.00|Over 1 year, up to and including 2 years
25-1021.00|Over 10 years
25-1021.00|Over 2 years, up to and including 4 years
25-1021.00|Over 4 years, up to and including 6 years
25-1022.00|None
25-1022.00|Over 1 year, up to and including 2 years
25-1022.00|Over 10 years
25-1022.00|Over 2 years, up to and including 4 years
25-1022.00|Over 4 years, up to and including 6 years
25-1022.00|Over 6 months, up to and including 1 year
25-1022.00|Over 8 years, up to and including 10 years
25-1031.00|None
25-1031.00|Over 10 years
25-1031.00|Over 2 years, up to and including 4 years
25-1032.00|Over 1 year, up to and including 2 years
25-1032.00|Over 4 years, up to and including 6 years
25-1041.00|Over 10 years
25-1041.00|Over 2 years, up to and including 4 years
25-1042.00|None
25-1042.00|Over 1 year, up to and including 2 years
25-1042.00|Over 10 years
25-1042.00|Over 2 years, up to and including 4 years
25-1042.00|Over 3 months, up to and including 6 months
25-1042.00|Over 4 years, up to and including 6 years
25-1042.00|Over 8 years, up to and including 10 years
25-1043.00|Over 10 years
25-1043.00|Over 2 years, up to and including 4 years
25-1043.00|Over 4 years, up to and including 6 years
25-1043.00|Over 8 years, up to and including 10 years
25-1051.00|None
25-1051.00|Over 1 year, up to and including 2 years
